EventId,EventTemplate,Occurrences,idf
3aa50e45,instruction cache parity error corrected,105924,0.7610593508824485
4cecb415,MidplaneSwitchController performing bit sparing on <*> bit <*>,964,0.8642673857558015
070de4aa,generating <*>,1706751,0.7
d3e73bc3,"<*> ddr errors(s) detected and corrected on rank 0, symbol <*> bit <*>",33939,0.7860606119869815
5569cffc,<*> <*> <*> error(s) (dcr <*> detected and corrected,5040,0.8279511295551173
cb2160e4,CE sym <*> at <*> mask <*>,201206,0.7469653692967245
147cfcff,total of <*> ddr error(s) detected and corrected,28485,0.7899087944231022
9826bf22,ddr: activating redundant bit steering: rank=0 <*>,1314,0.8574694465810373
6ede2c6c,"ddr: excessive soft failures, consider replacing the card",41,0.9331214977201744
57138c88,"ciod: Error loading <*> invalid or missing program image, No such file or directory",46416,0.7791834237799697
6265c739,<*> double-hummer alignment exceptions,295764,0.7385030661766072
c39154ae,<*> tree receiver <*> in re-synch state event(s) (dcr <*> detected,7847,0.818227419619127
8f1e5db5,idoproxydb has been started: $Name: <*> $ Input parameters: -enableflush -loguserinfo db.properties BlueGene1,114,0.9109951348981836
6b31e08c,ciodb has been restarted.,129,0.9083019507140344
1e85eb57,mmcs_db_server has been started: <*> --useDatabase BGL --dbproperties <*> --iolog /bgl/BlueLight/logs/BGL --reconnect-blocks all,63,0.9238687737673619
4983ff07,ciod: LOGIN <*> failed: No such file or directory,43647,0.7805345662604777
150b1306,ciod: failed to read message prefix on control stream (CioStream socket to <*>,5983,0.8241841531179795
38a7307d,data TLB error interrupt,152734,0.7530200826209381
a31b789f,instruction address: <*>,51227,0.7770170444739052
ce2b6cdc,machine check <*>,6755,0.8215186595230655
a111fe6f,machine check status register: <*>,246,0.8942024564689555
d377cbbe,summary...........................1,244,0.8943810495543789
67678035,instruction plb <*>,298,0.8900055788473334
1f5adb7d,data <*> plb <*>,593,0.8749267625334463
63ef80a3,tlb <*>,296,0.8901530077799739
ae55fb97,i-cache parity error..............0,296,0.8901530077799739
b15df703,d-cache <*> parity <*>,588,0.8751124511159704
43ecffee,imprecise machine <*>,289,0.8906769433476596
8d23c697,machine state register: <*>,8454,0.8165909071487734
198c56f7,wait state enable.................0,6745,0.8215511981581196
86bf963f,critical input interrupt <*>,6559,0.8221653716529911
2ec99d49,external input interrupt <*>,6556,0.8221754197564712
798f7321,problem state <*>,6546,0.8222089466685176
1bff92a7,floating point <*> <*>,6544,0.8222156581957645
f8ef62dd,floating pt ex mode <*> <*>,13044,0.8070650592671829
fe410cc8,debug wait enable.................0,6524,0.8222828864915694
2ec4bdb1,debug interrupt enable............0,6521,0.8222929885053176
940724cb,instruction address space.........0,6506,0.8223435683768667
ae9a7a4f,data address space................0,6503,0.8223536983417724
06072e40,core configuration register: <*>,6431,0.8225982295701391
228fcad4,disable store gathering..................0,6495,0.8223807344418111
866cdd26,disable apu instruction broadcast........0,2396,0.8442809737477792
5823314d,disable trace broadcast..................0,2393,0.84430848386848
55addd29,guaranteed <*> cache block <*>,4779,0.8291189724574498
9f7cd7e7,force load/store alignment...............0,2389,0.8443452177039775
3777cdd1,icache prefetch <*>,4777,0.8291281655224547
045f554d,general purpose registers:,2318,0.8450076781098437
18bb2726,0:00000000 <*> 2:1eeeeeee <*>,136,0.9071498679836493
75711469,<*> 5:00460000 6:00000000 <*>,5,0.97586697225747
76b5ffd4,8:009f7120 9:00002670 10:009741e0 11:00000000,1,1.0
7ae37cbb,<*> 13:1eeeeeee 14:ffffffff <*>,2201,0.8461449012604715
3bb2c988,16:00000000 17:00000000 <*> <*>,59,0.9252864803933847
6c2a1f6a,20:00000000 <*> 22:00000000 <*>,2090,0.8472811051037106
1f18e0f7,24:1fefff40 <*> 26:1fefff60 <*>,5,0.97586697225747
9cb4d3c5,28:30001460 29:30001510 30:00000000 31:30001400,1,1.0
f7c382bd,special purpose registers:,2316,0.845026631371165
3b18c933,<*> cr:20000000 xer:00000002 <*>,3,0.9847737547534723
220716fc,rts panic! - stopping execution,3983,0.8331203226799146
d6e5f01c,<*> torus receiver <*> input pipe error(s) (dcr <*> detected and corrected,10487,0.8118576319244639
22550c73,data address: <*>,14499,0.8047422048660166
0091e9c3,4:0000000e 5:000865b0 <*> <*>,90,0.9161369680408242
4d36c120,<*> 9:00000000 10:00090000 11:0000003c,90,0.9161369680408242
029d24e4,16:00000000 17:00089b10 <*> <*>,56,0.9264132313948332
58347779,20:00008000 21:001e7e94 <*> <*>,90,0.9161369680408242
870218f6,<*> <*> 26:000865b0 27:00089ae0,92,0.9156594094826047
