Sequence,label
571 571 571 571 571 571 571 571 571 571 571 571 571 571 571 571 571 571 571 571 571 571 571 571 571 571 571,0
143 144 145 143 143 144 145 144 143 145 144 145 143 144 145 143 143 144 145 144 143 145 144 145,0
3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3,0
5 5 4 27 4 4 12 4 6 6 4 6 6 6 4,0
302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302,0
4 6 4 6 6 6 7 6 6 6 6 6 6 6 6 6 59 12 6 4 12 12 4 6,0
11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11,0
291 291 291 291 291 291 291 291,0
302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302,0
1414 1414 1414 1414 1415 1414 1415 1415 1414 1415 1414 1415 1415 1415 1414 1414 1414 1414 1415 1414 1415 1415 1414 1414 1414 1415 1414 1415 1415 1415 1415 1415 1415 1415 1414 1415 1414 1415 1415 1414 1414 1415 1415 1414 1414 1414 1414 1414 1414 1414 1414 1415 1414 1415 1414 1414 1414 1415 1415 1414 1415 1415 1415 1415 1414 1414 1414 1414 1415 1415 1415 1414 1415 1415 1415 1414 1414 1415 1414 1415 1414 1415 1414 1415 1414 1414 1415 1415 1414 1415 1414 1415 1414 1415 1414 1414 1415 1414 1414 1414 1415 1414 1415 1415 1414 1414 1415 1415 1414 1415 1415 1415 1415 1414 1414 1414 1415 1415 1414 1415 1414 1415 1414 1415 1414 1415 1415 1415 1414 1414 1415 1414 1414 1414 1414 1414 1415 1414 1415 1414 1415 1414 1415 1414 1415 1415 1415 1415 1415 1414 1415 1414 1415 1414 1414 1415 1415 1414 1415 1415 1414 1415 1415 1415 1414 1414 1415 1414 1414 1415 1414 1414 1414 1415 1415 1414 1415 1414 1414 1414 1414 1414 1414 1415 1414 1415 1414 1414 1415 1415 1415 1415 1414 1415 1415 1415 1414 1415 1415 1415 1415 1414 1415 1415 1415 1414 1415 1414 1414 1414 1415 1415 1415 1414 1414 1414 1414 1414 1414 1414 1414 1414 1415 1414 1414 1414 1415 1415 1414 1415 1415 1414 1415 1415 1415 1414 1415 1415 1414 1414 1415 1415 1414 1415 1415 1415 1414 1414 1414 1415 1415 1415 1415 1414 1414 1415 1414 1415 1414 1415 1414 1415 1414 1415 1414 1414 1414 1414 1414 1414 1415 1414 1415 1415 1414 1414 1415 1415 1415 1414 1415 1414 1415 1415 1414 1415 1414 1415 1414 1414 1414 1414 1415 1415 1415 1414 1415 1415 1414 1415 1414 1415 1415 1414 1414 1414 1415 1414 1415 1415 1415 1415 1414 1414 1414 1415 1414 1415 1415 1415 1414 1414 1414 1414 1414 1415 1415 1414 1415 1414 1414 1415 1414 1414 1415 1415 1415 1415 1415 1415 1415 1414 1415 1415 1414 1415 1415 1414 1415 1414 1414 1414 1414 1415 1414 1414 1415 1415 1414 1414 1414 1415 1414 1414 1414 1414 1415 1414 1414 1415 1415 1415 1415 1414 1415 1415 1414 1415 1414 1414 1415 1415 1414 1415 1415 1414 1415 1415 1414 1415 1415 1414 1414 1415 1414 1415 1414 1414 1415 1415 1414 1415 1414 1414 1414 1415 1414 1415 1414 1415 1414 1415 1415 1415 1414 1415 1415 1414 1414 1414 1414 1415 1414 1415 1415 1414 1415 1414 1414 1415 1415 1414 1415 1414 1414 1415 1414 1415 1415 1414 1415 1414 1414 1414 1415 1415 1415 1414 1414 1414 1415 1414 1415 1415 1415 1415 1414 1415 1414 1414 1414 1414 1414 1414 1414 1415 1415 1415 1415 1415 1414 1415 1414 1415 1415 1415 1415 1414 1415 1414 1415 1415 1415 1414 1414 1414 1414 1414 1415 1415 1414 1414 1414 1414 1415 1415 1414 1414 1415 1414 1414 1415 1414 1414 1414 1415 1414 1414 1415 1415 1415 1414 1415 1414 1414 1414 1415 1415 1415 1415 1414 1415 1415 1415 1414 1414 1414 1414 1415 1415 1415 1415 1414 1414 1415 1415 1414 1415 1415 1414 1415 1414 1415 1414 1415 1414 1415,0
3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3,0
3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3,0
587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587,0
6 6 6 6 6 6 6 6,0
10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10,0
1055 1056 1055 1056 1053 1053,0
3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3,0
6 6 6 6 6 6 6 6 6 6,0
3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3,0
3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3,0
1056 1054 1054 1054 1054 1054 1054 1055 1056 1055 1056,0
6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 59 12 6 6 6 6 6 6 6 6 6 6 6 7 7 6 6,0
6 6 6 6 6 6 6 6,0
205 205 205 205 205 205 205 205 205 205 205 205 205 205 205 205 205 205 205 205 205 205 205 205 205 205 205 205 205 205 205 205 205 205 205 205 205 205 205 205 205 205 205 205 205 205 205 205 205 205 205 205 205 205 205 205 205 205 205 205 205 205 205 205 205 205 205 205 205 205 205 205 205 205 205 205 205 205 205 205 205 205 205 205,0
6 7 6 59 59 6 6 6 6 7 7 6 6 6 6 6 7 6 6 6 7 6 6 6 6 12 7 7 7 7 6 6 6 6 7 7 6 6,0
3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3,0
1415 1414 1415 1414 1414 1415 1415 1414 1414 1415 1415 1414 1414 1415 1415 1414 1414 1415 1415 1414 1414 1415 1415 1414 1414 1414 1415 1414 1415 1415 1414 1415 1414 1414 1415 1415 1414 1415 1415 1414 1414 1414 1415 1415 1414 1415 1415 1414 1414 1414 1415 1415 1414 1415 1414 1415 1414 1414 1415 1415 1415 1414 1414 1415 1414 1414 1415 1415 1415 1414 1414 1414 1415 1414 1415 1415 1415 1414 1414 1415 1414 1415 1414 1415 1415 1414 1414 1415 1414 1414 1415 1415 1415 1414 1414 1415 1414 1415 1414 1415 1415 1414 1414 1414 1415 1415 1414 1415 1414 1414 1415 1415 1415 1414 1414 1415 1415 1414 1414 1415 1415 1414 1414 1414 1415 1415 1414 1415 1414 1414 1415 1415 1415 1414 1414 1414 1415 1415 1414 1415 1415 1414 1414 1414 1414 1415 1415 1415 1415 1414 1414 1414 1414 1415 1415 1415 1415 1414 1414 1414 1414 1415 1415 1415 1415 1414 1414 1414 1414 1415 1415 1415 1415 1414 1414 1414 1415 1414 1415 1415 1414 1415 1414 1414 1415 1415 1414 1415 1414 1415 1414 1414 1415 1415 1414 1415 1415 1414 1414 1415 1414 1415 1414 1415 1414 1415 1414 1415 1414 1415 1414 1415 1414 1415 1414 1414 1415 1415 1414 1415 1415 1414 1414 1414 1414 1415 1415 1415 1415 1414 1414 1414 1414 1415 1415 1415 1415 1414 1414 1414 1414 1415 1415 1415 1415 1414 1414 1414 1414 1415 1415 1415 1415 1414 1414 1414 1415 1414 1415 1415 1414 1415 1414 1414 1415 1414 1415 1415 1415 1414 1414 1414 1415 1414 1415 1415 1415 1414 1414 1414 1414 1415 1415 1415 1415 1414 1414 1415 1414,0
3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3,0
151 32 151 32 151 32 151 32 151 32 151 32 151 32 151 32 151 32 151 151 32 151 32 151 32 151 32 151 32 151 32 151 32 151 32 151 32 151 32 151 32 151 32 151 32 151 32 151 32 151 32 151 32 151 32 151 151 32 151 32 151 32 151 32 32 151 32 151 32 151 32 151 32 32 151 32 151 151 32 151 32 151 32 151 32 151 151 32 151 32 151 32 151 32 151 32 151 32 32 151 32 151 32 151 32 151 32 151 32 151 32 151 151 32 151 32 151 32 151 32 151 32 151 32 151 32 151 32 151 32 32 151 32 151 32 151 32 151 32 151 32 151 32 151 32 151 32 151 32 151 32 151 32 151 32 151 32 151 32 151 32 151 32 151 32 151 32 151 32 32 151 32 151 32 151,0
3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3,0
146 146 143 144 145,0
6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 7 6 6 7 6 6 6 6 6,0
4 7 6 6 6 6 6 6 6 6 6 6 6 7,0
11 11 11 11 11 11 11 11 11 11 11,0
11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11,0
571 571 571 571 571 571 571 571 571 571 571 571 571 571 571 571 571 571 571 571 571 571 571 571 571 571 571 571 571 571 571 571 571 571 571 571 571 571 571 571 571 571 571 571 571 571 571,0
1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111,0
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0
3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3,0
3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3,0
16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16,0
198 198 198 198 198 198 198 198 198 198 198 198 198 198 198 198 198 198 198 198 198 198 198 198 198 198 198 198 198 198 198 198 198 198 198 198 198 198 198 198 198 198 198 198 198 198 198 198 198 198 198 198 198 198 198 198 198 198 198 198 198 198 198 198 198 198 198 198 198 198 198 198 198 198 198 198 198 198 198 198 198 198 198 198 198 198 198 198 198 198 198 198 198 198 198 198 198 198 198 198 198 198 198 198 198 198 198 198 198 198 198 198 198,0
1414 1415 1414 1415 1414 1415 1414 1415 1414 1415 1414 1415 1414 1415 1414 1415 1414 1415 1414 1415 1414 1415 1414,0
587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587,0
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0
3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3,0
587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587 587,0
4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 59 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,0
