Sequence,label
1 2 1 1 3 4 5 3 4 5 3 4 5 32 32 32 17 17 17,0
1 1 1 2 3 4 3 4 5 5 3 4 5 32 32 32 17 17 17,0
2 1 1 1 3 4 3 4 5 5 3 4 5 32 32 32 17 17 17,0
1 1 2 1 3 4 3 4 5 5 5 3 4 10 10 35 10 35 10 32 32 32 17 17 17,0
1 1 2 1 3 4 3 4 3 4 5 5 5 32 32 32 17 17 17,0
1 1 2 1 3 4 3 4 3 4 5 5 5,0
2 1 1 1 5 5 5 3 4 3 4 3 4 13 32 32 32 17 17 17,0
1 1 1 2 3 4 3 4 3 4 5 5 5,0
1 1 1 2 4 3 4 5 5 3 4 3 5,0
2 1 1 1 5 5 3 4 3 4 3 4 5 10 10 35 10 10 35 10 35 10 10 35 10 32 32 32 17 17 17,0
1 2 1 1 3 4 5 3 4 3 4 5 5 32 32 32 17 17 17,0
2 1 1 1 5 3 4 3 4 5 3 4 5 13 35 35 35 35 35 10 35 35 35 35 35 35 35 35 35 35 32 32 32 17 17 17,0
1 1 2 1 3 4 3 4 3 4 5 5 5 32 32 32 17 17 17,0
1 1 2 1 3 4 3 4 3 4 5 5 5 32 32 32 17 17 17,0
2 1 1 1 5 5 5 3 4 3 4 3 4 32 32 32 17 17 17,0
1 1 2 1 3 4 3 4 3 4 5 5 5 35 35 10 13 32 32 32 17 17 17,0
1 2 1 1 5 4 3 4 5 3 3 4 5 35 10 35 13 13 13 32 32 32 17 17 17,0
1 2 1 1 3 4 3 4 5 5 3 4 5 32 32 32 17 17 17,0
1 2 1 1 3 4 3 4 3 4 5 5 5,0
1 1 1 2 3 4 3 4 3 4 5 5 5 10 35 10 10 10 35 32 32 32 17 17 17,0
1 2 1 1 3 4 3 4 3 4 5 5 5 35 35 10 32 32 32 17 17 17,0
1 1 1 2 3 4 3 4 3 4 5 5 5 32 32 32 17 17 17,0
1 1 2 1 3 4 3 4 3 4 5 5 5,0
1 2 1 1 3 4 3 4 3 4 5 5 5 32 32 32 17 17 17,0
1 2 1 1 3 4 3 4 3 4 5 5 5,0
2 1 1 1 5 5 5 3 4 3 4 3 4 32 32 32 17 17 17,0
1 1 2 1 3 4 3 4 3 4 5 5 5 32 32 32 17 17 17,0
1 2 1 1 3 4 3 4 3 4 5 5 5 32 32 32 17 17 17,0
1 1 2 1 3 4 3 4 3 4 5 5 5,0
2 1 1 1 5 5 5 3 4 3 4 3 4 35 35 10 13 13 13 32 32 32 17 17 17,0
1 1 2 1 3 4 3 4 3 4 5 5 5 35 10 35 13 32 32 32 17 17 17,0
1 2 1 1 3 4 5 3 4 3 4 5 5,0
1 1 2 1 3 4 3 4 3 4 5 5 5,0
